Nom de la gare;Code UIC;Code postal;Direction Régionale Gares;Segmentation DRG;Segmentation Marketing;% Non Voyageurs;Total Voyageurs 2024;Total Voyageurs + Non voyageurs 2024;Total Voyageurs 2023;Total Voyageurs + Non voyageurs 2023;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015;CO2_evite_t_2015;Vies_sauvees_stat_2015;CO2_evite_t_2016;Vies_sauvees_stat_2016;CO2_evite_t_2017;Vies_sauvees_stat_2017;CO2_evite_t_2018;Vies_sauvees_stat_2018;CO2_evite_t_2019;Vies_sauvees_stat_2019;CO2_evite_t_2020;Vies_sauvees_stat_2020;CO2_evite_t_2021;Vies_sauvees_stat_2021;CO2_evite_t_2022;Vies_sauvees_stat_2022;CO2_evite_t_2023;Vies_sauvees_stat_2023;CO2_evite_t_2024;Vies_sauvees_stat_2024
Les Coquetiers;87113845;93250;DEX GIF;B;IDF;pas de donnees;1386734;1386734;1257508;1257508;1181755;1181755;946919;946919;1618216;1618216;1049625;1049625;1064397;1064397;1072490;1072490;1063744;1063744;1050903;1050903;8843.348745;0.1466009685;8951.40576;0.148392288;9025.003349999999;0.149612355;8956.900755;0.1484833815;8832.594375;0.1464226875;13617.28764;0.225741132;7968.323385;0.1320952005;9944.468325;0.1648548225;10581.929820000001;0.175422366;11669.36661;0.193449393
Les Eyzies-de-Tayac-Sireuil;87595736;24620;DRG NLLE AQUITAINE;C;Proximité;pas de donnees;19660;19660;19771;19771;18117;18117;12349;12349;10521;10521;20871;20871;17280;17280;21489;21489;22584;22584;21824;21824;183.64896;0.003044448;190.04435999999998;0.003150468;180.829935;0.0029977155;145.4112;0.00241056;175.629465;0.0029115045000000003;88.534215;0.0014676795000000001;103.916835;0.0017226855;152.454555;0.0025273215;166.372965;0.0027580545;165.4389;0.00274257
Libercourt;87345256;62820;DRG HDF-NORMANDIE;B;Proximité;0.2;964100;1205125;886480;1108100;774844;968555;599534;749418;550226;687783;839687;1049609;771411;964264;784942;981178;764323;955404;784994;981243;6605.72451;0.109506663;6431.778045;0.1066230585;6605.286929999999;0.109499409;6491.423565;0.1076118345;7065.966105;0.11713633650000001;4630.15179;0.076756527;5045.0786100000005;0.083634993;6520.31226;0.108090738;7459.7292;0.12366396;8112.9015;0.13449195
Lille Europe;87223263;59777;DRG HDF-NORMANDIE;A;Hub;0.37;6642464;10543594;6721133;10668465;6056899;9614126;4337868;6885505;3303176;5243137;7754675;12309007;7696028;12215918;8314520;13197651;7780562;12350098;7846574;12454880;66028.92021;1.094597073;65473.429229999994;1.085388399;69966.68579999999;1.15987554;64762.075619999996;1.073595906;65255.590125;1.0817771625000001;27796.226039999998;0.460793052;36503.15922;0.605132586;50968.805085;0.8449374105;56558.334195;0.9375980535;55896.33456;0.926623728
L'Isle-sur-le-Doubs;87184572;25250;DRG AURA BFC;C;Halte;pas de donnees;132116;132116;125662;125662;123373;123373;96931;96931;86730;86730;106385;106385;87144;87144;89119;89119;83533;83533;92421;92421;777.722715;0.0128927295;702.9301949999999;0.011652853500000001;749.936385;0.0124321005;733.31676;0.012156588;895.229775;0.0148407075;729.83295;0.012098835;815.674365;0.0135218745;1038.1837950000001;0.0172105335;1057.44573;0.017529849;1111.75614;0.018430182
Loos lez Lille;87286112;59120;DRG HDF-NORMANDIE;C;Proximité;pas de donnees;57811;57811;47194;47194;42385;42385;30951;30951;24225;24225;40088;40088;28581;28581;29733;29733;27143;27143;28504;28504;239.86116;0.0039763080000000004;228.408345;0.0037864485;250.203195;0.0041477535;240.50911499999998;0.0039870495;337.34052;0.005592276;203.853375;0.0033793875;260.452665;0.0043176645;356.669775;0.0059127075;397.13751;0.006583563;486.479565;0.0080646345
Louvres;87276253;95380;DEX GIF;B;IDF;pas de donnees;2420732;2420732;1980516;1980516;1860250;1860250;3739057;3739057;919807;919807;2253078;2253078;2235303;2235303;2232729;2232729;2183957;2183957;2127635;2127635;17904.048525;0.2968050825;18377.998155;0.3046620015;18788.414535;0.31146569550000003;18810.074745;0.3118247685;18959.65137;0.314304381;7740.175905;0.1283130765;31464.164655;0.5215984515000001;15654.00375;0.259504875;16666.04214;0.276281982;20370.45978;0.337692114
Ludres;87141481;54710;DRG GRAND EST;C;Halte;pas de donnees;30115;30115;24159;24159;21795;21795;16503;16503;14306;14306;22919;22919;17438;17438;16244;16244;15686;15686;15639;15639;131.602185;0.0021816405;131.99769;0.0021881970000000002;136.69326;0.002266038;146.74077;0.002432601;192.86338500000002;0.0031972005;120.38499;0.001995687;138.872745;0.0023021685;183.404925;0.0030404025;203.29798499999998;0.0033701805;253.41772500000002;0.0042010425
Maizières-lès-Metz;87191106;57210;DRG GRAND EST;B;Halte;0.03;341339;351896;323371;333372;266195;274428;177405;182892;145265;149758;233235;240448;216656;223356;243032;250548;236360;243670;247054;254695;2078.95941;0.034464033;1988.9694;0.032972220000000003;2045.11428;0.033902964;1823.16024;0.030223512;1962.672525;0.0325362825;1222.4049750000001;0.0202644675;1492.863075;0.0247479975;2240.030925;0.0371342025;2721.166965;0.0451102545;2872.367685;0.0476167905
Mareil-Marly;87733667;78750;DEX GIF;C;IDF;pas de donnees;377465;377465;295228;295228;139813;139813;pas de donnees;pas de donnees;pas de donnees;pas de donnees;53506;53506;58655;58655;64132;64132;69257;69257;74243;74243;624.7548449999999;0.0103568985;582.7976550000001;0.0096613515;539.67078;0.008946414;493.58182500000004;0.0081823725;450.25299;0.007464087;pas de donnees;pas de donnees;pas de donnees;pas de donnees;1176.526395;0.0195039135;2484.34362;0.041184306000000004;3176.367975;0.0526563675
