year;origin_country_iso;flow_type;nb_routes;total_passengers_M;avg_passengers_M;max_route_M
2016;CH;cross_border;2;1.649;0.824;1.14
2016;CH;domestic;9;19.869;2.208;4.017
2016;DE;cross_border;6;11.039;1.84;2.763
2016;DE;domestic;18;47.617;2.645;11.843
2016;ES;domestic;14;36.743;2.625;10.439
2016;FR;domestic;240;815.19;3.397;9.15
2016;IT;cross_border;8;10.304;1.288;2.724
2016;IT;domestic;11;40.041;3.64;9.118
2017;CH;cross_border;2;2.503;1.252;1.701
2017;CH;domestic;11;32.041;2.913;10.468
2017;DE;cross_border;6;8.928;1.488;2.624
2017;DE;domestic;9;22.468;2.496;4.3
2017;ES;domestic;10;22.63;2.263;4.499
2017;FR;domestic;240;805.27;3.355;9.22
2017;IT;cross_border;8;12.582;1.573;2.855
2017;IT;domestic;13;28.688;2.207;3.844
2018;CH;cross_border;2;2.7;1.35;1.868
2018;CH;domestic;12;33.264;2.772;7.515
2018;DE;cross_border;6;9.85;1.642;2.471
2018;DE;domestic;11;24.24;2.204;4.676
2018;ES;domestic;7;33.529;4.79;13.201
2018;FR;domestic;240;821.04;3.421;9.31
2018;IT;cross_border;8;15.577;1.947;3.498
2018;IT;domestic;13;29.592;2.276;4.669
2019;CH;cross_border;2;3.009;1.504;2.238
2019;CH;domestic;11;34.675;3.152;9.76
2019;DE;cross_border;6;8.297;1.383;2.278
2019;DE;domestic;12;26.505;2.209;9.308
2019;ES;domestic;8;21.732;2.716;4.713
2019;FR;domestic;240;820.54;3.419;9.28
2019;IT;cross_border;8;15.332;1.916;3.241
2019;IT;domestic;8;32.691;4.086;12.976
2020;CH;cross_border;2;2.829;1.414;2.035
2020;CH;domestic;5;18.272;3.654;6.342
2020;DE;cross_border;6;7.468;1.245;2.208
2020;DE;domestic;13;30.146;2.319;5.041
2020;ES;domestic;7;11.605;1.658;3.362
2020;FR;domestic;240;334.51;1.394;3.64
2020;IT;cross_border;8;16.419;2.052;3.624
2020;IT;domestic;9;28.721;3.191;6.267
2021;CH;cross_border;2;3.694;1.847;3.028
2021;CH;domestic;12;32.766;2.73;4.115
2021;DE;cross_border;6;9.179;1.53;3.328
2021;DE;domestic;13;38.431;2.956;4.919
2021;ES;domestic;10;29.546;2.955;9.594
2021;FR;domestic;240;590.72;2.461;6.66
2021;IT;cross_border;8;7.387;0.923;2.023
2021;IT;domestic;12;43.399;3.617;10.836
2022;CH;cross_border;2;5.638;2.819;3.063
2022;CH;domestic;5;12.575;2.515;3.616
2022;DE;cross_border;6;14.207;2.368;3.094
2022;DE;domestic;7;11.83;1.69;3.094
2022;ES;domestic;7;17.287;2.47;5.514
2022;FR;domestic;240;847.76;3.532;9.63
2022;IT;cross_border;8;11.198;1.4;2.127
2022;IT;domestic;8;20.304;2.538;4.664
2023;CH;cross_border;2;4.563;2.282;3.516
2023;CH;domestic;7;22.825;3.261;8.619
2023;DE;cross_border;6;15.312;2.552;3.726
2023;DE;domestic;15;47.178;3.145;11.741
2023;ES;domestic;9;35.418;3.935;13.452
2023;FR;domestic;240;863.17;3.597;9.73
2023;IT;cross_border;8;13.026;1.628;2.802
2023;IT;domestic;13;38.028;2.925;4.843
2024;CH;cross_border;2;4.723;2.362;2.775
2024;CH;domestic;16;46.196;2.887;6.389
2024;DE;cross_border;6;11.457;1.91;2.596
2024;DE;domestic;12;43.559;3.63;12.931
2024;ES;domestic;11;51.393;4.672;13.294
2024;FR;domestic;240;866.61;3.611;9.87
2024;IT;cross_border;8;13.996;1.75;2.65
2024;IT;domestic;8;26.951;3.369;4.997
