station_name,city,region,annual_passengers_millions,type
Paris Nord,Paris,Ile-de-France,211.5,International / Banlieue
Paris Saint-Lazare,Paris,Ile-de-France,102.0,Banlieue / Regional
Paris Lyon,Paris,Ile-de-France,101.0,Sud-Est / TGV
Paris Montparnasse,Paris,Ile-de-France,61.5,Ouest / TGV
Paris Est,Paris,Ile-de-France,41.2,Est / International
Lyon Part-Dieu,Lyon,Auvergne-Rhone-Alpes,36.5,Hub Regional / TGV
Lille Flandres,Lille,Hauts-de-France,28.0,Nord / Regional
Strasbourg,Strasbourg,Grand Est,21.5,Est / International
Bordeaux Saint-Jean,Bordeaux,Nouvelle-Aquitaine,21.0,Sud-Ouest / TGV
Marseille Saint-Charles,Marseille,Provence-Alpes-Cote d'Azur,16.5,Sud / TGV
