station_name,city,region,annual_passengers_millions,type
Roma Termini,Roma,Lazio,210.0,Grandes Lignes
Milano Centrale,Milano,Lombardia,145.0,Grandes Lignes
Torino Porta Nuova,Torino,Piemonte,75.0,Grandes Lignes
Firenze Santa Maria Novella,Firenze,Toscana,62.0,Grandes Lignes
Bologna Centrale,Bologna,Emilia-Romagna,60.5,Hub National
Napoli Centrale,Napoli,Campania,55.0,Grandes Lignes
Venezia Santa Lucia,Venezia,Veneto,32.0,Touristique
Verona Porta Nuova,Verona,Veneto,28.0,Hub Régional
Genova Piazza Principe,Genova,Liguria,26.0,Grandes Lignes
Bari Centrale,Bari,Puglia,15.5,Régional
