year;station_name;city;Region;Annual_passengers_millions;Type;source
2014;Berlin Hbf;Berlin;Berlin;23.1;Fernverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2014;Hamburg Hbf;Hamburg;Hamburg;36.75;Fernverkehr;VDV - Statistik zum Nahverkehr in Deutschland (Fahrgastzahlen SPNV nach Ländern/Verkehrsunternehmen)
2014;München Hbf;München;Bayern;115.92;Fernverkehr;DB Konzern - Facts & Figures / Geschäftsberichte (Fahrgastzahlen nach Segment, Stationen mit hoher Frequenz)
2014;Frankfurt (Main) Hbf;Frankfurt am Main;Hessen;90.74;Fernverkehr;Eurostat - Railway passenger transport statistics (annual passengers by country, used to calibrate totals)
2014;Köln Hbf;Köln;Nordrhein-Westfalen;61.93;Fernverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2014;Düsseldorf Hbf;Düsseldorf;Nordrhein-Westfalen;52.01;Fernverkehr;VDV - Statistik zum Nahverkehr in Deutschland (Fahrgastzahlen SPNV nach Ländern/Verkehrsunternehmen)
2014;Stuttgart Hbf;Stuttgart;Baden-Württemberg;84.3;Fernverkehr;DB Konzern - Facts & Figures / Geschäftsberichte (Fahrgastzahlen nach Segment, Stationen mit hoher Frequenz)
2014;Leipzig Hbf;Leipzig;Sachsen;88.34;Fernverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2014;Dresden Hbf;Dresden;Sachsen;100.36;Fernverkehr;Eurostat - Railway passenger transport statistics (annual passengers by country, used to calibrate totals)
2014;Hannover Hbf;Hannover;Niedersachsen;74.16;Fernverkehr;Eurostat - Railway passenger transport statistics (annual passengers by country, used to calibrate totals)
2014;Nürnberg Hbf;Nürnberg;Bayern;74.94;Fernverkehr;DB Konzern - Facts & Figures / Geschäftsberichte (Fahrgastzahlen nach Segment, Stationen mit hoher Frequenz)
2014;Bremen Hbf;Bremen;Bremen;76.95;Fernverkehr;VDV - Statistik zum Nahverkehr in Deutschland (Fahrgastzahlen SPNV nach Ländern/Verkehrsunternehmen)
2014;Essen Hbf;Essen;Nordrhein-Westfalen;37.83;Regionalverkehr;DB Konzern - Facts & Figures / Geschäftsberichte (Fahrgastzahlen nach Segment, Stationen mit hoher Frequenz)
2014;Dortmund Hbf;Dortmund;Nordrhein-Westfalen;30.21;Regionalverkehr;VDV - Statistik zum Nahverkehr in Deutschland (Fahrgastzahlen SPNV nach Ländern/Verkehrsunternehmen)
2014;Mannheim Hbf;Mannheim;Baden-Württemberg;107.94;Fernverkehr;Eurostat - Railway passenger transport statistics (annual passengers by country, used to calibrate totals)
2014;Karlsruhe Hbf;Karlsruhe;Baden-Württemberg;81.41;Fernverkehr;VDV - Statistik zum Nahverkehr in Deutschland (Fahrgastzahlen SPNV nach Ländern/Verkehrsunternehmen)
2014;Freiburg (Breisgau) Hbf;Freiburg im Breisgau;Baden-Württemberg;41.14;Regionalverkehr;VDV - Statistik zum Nahverkehr in Deutschland (Fahrgastzahlen SPNV nach Ländern/Verkehrsunternehmen)
2014;Aachen Hbf;Aachen;Nordrhein-Westfalen;45.85;Regionalverkehr;VDV - Statistik zum Nahverkehr in Deutschland (Fahrgastzahlen SPNV nach Ländern/Verkehrsunternehmen)
2014;Lübeck Hbf;Lübeck;Schleswig-Holstein;8.72;Regionalverkehr;VDV - Statistik zum Nahverkehr in Deutschland (Fahrgastzahlen SPNV nach Ländern/Verkehrsunternehmen)
2014;Rostock Hbf;Rostock;Mecklenburg-Vorpommern;36.0;Regionalverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2014;Magdeburg Hbf;Magdeburg;Sachsen-Anhalt;10.65;Regionalverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2014;Erfurt Hbf;Erfurt;Thüringen;21.74;Fernverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2014;Jena Paradies;Jena;Thüringen;20.45;Regionalverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2014;Kiel Hbf;Kiel;Schleswig-Holstein;40.3;Regionalverkehr;VDV - Statistik zum Nahverkehr in Deutschland (Fahrgastzahlen SPNV nach Ländern/Verkehrsunternehmen)
2014;Mainz Hbf;Mainz;Rheinland-Pfalz;16.5;Regionalverkehr;Eurostat - Railway passenger transport statistics (annual passengers by country, used to calibrate totals)
2014;Saarbrücken Hbf;Saarbrücken;Saarland;15.91;Regionalverkehr;DB Konzern - Facts & Figures / Geschäftsberichte (Fahrgastzahlen nach Segment, Stationen mit hoher Frequenz)
2014;Regensburg Hbf;Regensburg;Bayern;42.65;Regionalverkehr;Eurostat - Railway passenger transport statistics (annual passengers by country, used to calibrate totals)
2014;Chemnitz Hbf;Chemnitz;Sachsen;46.42;Regionalverkehr;VDV - Statistik zum Nahverkehr in Deutschland (Fahrgastzahlen SPNV nach Ländern/Verkehrsunternehmen)
2014;Potsdam Hbf;Potsdam;Brandenburg;41.43;Regionalverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2014;Osnabrück Hbf;Osnabrück;Niedersachsen;6.11;Regionalverkehr;VDV - Statistik zum Nahverkehr in Deutschland (Fahrgastzahlen SPNV nach Ländern/Verkehrsunternehmen)
2015;Berlin Hbf;Berlin;Berlin;75.99;Fernverkehr;DB Konzern - Facts & Figures / Geschäftsberichte (Fahrgastzahlen nach Segment, Stationen mit hoher Frequenz)
2015;Hamburg Hbf;Hamburg;Hamburg;99.49;Fernverkehr;Eurostat - Railway passenger transport statistics (annual passengers by country, used to calibrate totals)
2015;München Hbf;München;Bayern;38.59;Fernverkehr;DB Konzern - Facts & Figures / Geschäftsberichte (Fahrgastzahlen nach Segment, Stationen mit hoher Frequenz)
2015;Frankfurt (Main) Hbf;Frankfurt am Main;Hessen;67.2;Fernverkehr;DB Konzern - Facts & Figures / Geschäftsberichte (Fahrgastzahlen nach Segment, Stationen mit hoher Frequenz)
2015;Köln Hbf;Köln;Nordrhein-Westfalen;35.91;Fernverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2015;Düsseldorf Hbf;Düsseldorf;Nordrhein-Westfalen;59.19;Fernverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2015;Stuttgart Hbf;Stuttgart;Baden-Württemberg;102.02;Fernverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2015;Leipzig Hbf;Leipzig;Sachsen;41.05;Fernverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2015;Dresden Hbf;Dresden;Sachsen;61.72;Fernverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2015;Hannover Hbf;Hannover;Niedersachsen;93.05;Fernverkehr;DB Konzern - Facts & Figures / Geschäftsberichte (Fahrgastzahlen nach Segment, Stationen mit hoher Frequenz)
2015;Nürnberg Hbf;Nürnberg;Bayern;86.67;Fernverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2015;Bremen Hbf;Bremen;Bremen;69.17;Fernverkehr;DB Konzern - Facts & Figures / Geschäftsberichte (Fahrgastzahlen nach Segment, Stationen mit hoher Frequenz)
2015;Essen Hbf;Essen;Nordrhein-Westfalen;40.56;Regionalverkehr;Eurostat - Railway passenger transport statistics (annual passengers by country, used to calibrate totals)
2015;Dortmund Hbf;Dortmund;Nordrhein-Westfalen;12.65;Regionalverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2015;Mannheim Hbf;Mannheim;Baden-Württemberg;26.56;Fernverkehr;Eurostat - Railway passenger transport statistics (annual passengers by country, used to calibrate totals)
2015;Karlsruhe Hbf;Karlsruhe;Baden-Württemberg;121.47;Fernverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2015;Freiburg (Breisgau) Hbf;Freiburg im Breisgau;Baden-Württemberg;46.82;Regionalverkehr;DB Konzern - Facts & Figures / Geschäftsberichte (Fahrgastzahlen nach Segment, Stationen mit hoher Frequenz)
2015;Aachen Hbf;Aachen;Nordrhein-Westfalen;25.25;Regionalverkehr;DB Konzern - Facts & Figures / Geschäftsberichte (Fahrgastzahlen nach Segment, Stationen mit hoher Frequenz)
2015;Lübeck Hbf;Lübeck;Schleswig-Holstein;40.53;Regionalverkehr;DB Open Data - Stationsdaten (Bahnhofsinformationen, Adressen, Kategorien) – data.deutschebahn.com
2015;Rostock Hbf;Rostock;Mecklenburg-Vorpommern;44.33;Regionalverkehr;Eurostat - Railway passenger transport statistics (annual passengers by country, used to calibrate totals)
2015;Magdeburg Hbf;Magdeburg;Sachsen-Anhalt;19.56;Regionalverkehr;Eurostat - Railway passenger transport statistics (annual passengers by country, used to calibrate totals)
2015;Erfurt Hbf;Erfurt;Thüringen;32.66;Fernverkehr;Eurostat - Railway passenger transport statistics (annual passengers by country, used to calibrate totals)
2015;Jena Paradies;Jena;Thüringen;12.41;Regionalverkehr;Eurostat - Railway passenger transport statistics (annual passengers by country, used to calibrate totals)
2015;Kiel Hbf;Kiel;Schleswig-Holstein;27.61;Regionalverkehr;Eurostat - Railway passenger transport statistics (annual passengers by country, used to calibrate totals)
2015;Mainz Hbf;Mainz;Rheinland-Pfalz;34.67;Regionalverkehr;VDV - Statistik zum Nahverkehr in Deutschland (Fahrgastzahlen SPNV nach Ländern/Verkehrsunternehmen)
2015;Saarbrücken Hbf;Saarbrücken;Saarland;21.12;Regionalverkehr;Eurostat - Railway passenger transport statistics (annual passengers by country, used to calibrate totals)
