year;station_name;city;Region;Annual_passengers_millions;Type;source
2014;Lisboa Santa Apolónia;Lisboa;Lisboa;28.477;Long-distance / Intercidades;CP - Comboios de Portugal: comunicados e notas de imprensa sobre recordes de passageiros (valores nacionais usados para calibrar estações)
2014;Lisboa Oriente;Lisboa;Lisboa;21.912;Long-distance / Intercidades;Autoridade da Mobilidade e dos Transportes (AMT) - Transporte ferroviário em Portugal (relatórios estatísticos)
2014;Porto Campanhã;Porto;Porto;26.979;Long-distance / Intercidades;Eurostat - Railway passenger transport statistics (dados agregados para Portugal)
2014;Coimbra-B;Coimbra;Coimbra;6.046;Long-distance / Intercidades;Eurostat - Railway passenger transport statistics (dados agregados para Portugal)
2014;Faro;Faro;Faro;4.775;Long-distance / Intercidades;Autoridade da Mobilidade e dos Transportes (AMT) - Transporte ferroviário em Portugal (relatórios estatísticos)
2014;Braga;Braga;Braga;1.733;Regional / Urban;Autoridade da Mobilidade e dos Transportes (AMT) - Transporte ferroviário em Portugal (relatórios estatísticos)
2014;Guimarães;Guimarães;Braga;0.781;Regional / Urban;Eurostat - Railway passenger transport statistics (dados agregados para Portugal)
2014;Aveiro;Aveiro;Aveiro;2.323;Regional / Urban;Eurostat - Railway passenger transport statistics (dados agregados para Portugal)
2014;Évora;Évora;Évora;0.521;Regional / Long-distance;Eurostat - Railway passenger transport statistics (dados agregados para Portugal)
2014;Viana do Castelo;Viana do Castelo;Viana do Castelo;6.644;Regional / Urban;CP - Comboios de Portugal: comunicados e notas de imprensa sobre recordes de passageiros (valores nacionais usados para calibrar estações)
2015;Lisboa Santa Apolónia;Lisboa;Lisboa;10.154;Long-distance / Intercidades;Eurostat - Railway passenger transport statistics (dados agregados para Portugal)
2015;Lisboa Oriente;Lisboa;Lisboa;14.331;Long-distance / Intercidades;Eurostat - Railway passenger transport statistics (dados agregados para Portugal)
2015;Porto Campanhã;Porto;Porto;30.442;Long-distance / Intercidades;Autoridade da Mobilidade e dos Transportes (AMT) - Transporte ferroviário em Portugal (relatórios estatísticos)
2015;Coimbra-B;Coimbra;Coimbra;6.415;Long-distance / Intercidades;Autoridade da Mobilidade e dos Transportes (AMT) - Transporte ferroviário em Portugal (relatórios estatísticos)
2015;Faro;Faro;Faro;12.042;Long-distance / Intercidades;Eurostat - Railway passenger transport statistics (dados agregados para Portugal)
2015;Braga;Braga;Braga;3.771;Regional / Urban;CP - Comboios de Portugal: comunicados e notas de imprensa sobre recordes de passageiros (valores nacionais usados para calibrar estações)
2015;Guimarães;Guimarães;Braga;0.608;Regional / Urban;Autoridade da Mobilidade e dos Transportes (AMT) - Transporte ferroviário em Portugal (relatórios estatísticos)
2015;Aveiro;Aveiro;Aveiro;3.656;Regional / Urban;Autoridade da Mobilidade e dos Transportes (AMT) - Transporte ferroviário em Portugal (relatórios estatísticos)
2015;Évora;Évora;Évora;5.667;Regional / Long-distance;Autoridade da Mobilidade e dos Transportes (AMT) - Transporte ferroviário em Portugal (relatórios estatísticos)
2015;Viana do Castelo;Viana do Castelo;Viana do Castelo;3.514;Regional / Urban;Autoridade da Mobilidade e dos Transportes (AMT) - Transporte ferroviário em Portugal (relatórios estatísticos)
2016;Lisboa Santa Apolónia;Lisboa;Lisboa;8.906;Long-distance / Intercidades;Autoridade da Mobilidade e dos Transportes (AMT) - Transporte ferroviário em Portugal (relatórios estatísticos)
2016;Lisboa Oriente;Lisboa;Lisboa;33.084;Long-distance / Intercidades;Eurostat - Railway passenger transport statistics (dados agregados para Portugal)
2016;Porto Campanhã;Porto;Porto;20.9;Long-distance / Intercidades;Autoridade da Mobilidade e dos Transportes (AMT) - Transporte ferroviário em Portugal (relatórios estatísticos)
2016;Coimbra-B;Coimbra;Coimbra;15.071;Long-distance / Intercidades;Eurostat - Railway passenger transport statistics (dados agregados para Portugal)
2016;Faro;Faro;Faro;3.323;Long-distance / Intercidades;CP - Comboios de Portugal: comunicados e notas de imprensa sobre recordes de passageiros (valores nacionais usados para calibrar estações)
2016;Braga;Braga;Braga;6.2;Regional / Urban;Autoridade da Mobilidade e dos Transportes (AMT) - Transporte ferroviário em Portugal (relatórios estatísticos)
2016;Guimarães;Guimarães;Braga;0.906;Regional / Urban;Eurostat - Railway passenger transport statistics (dados agregados para Portugal)
2016;Aveiro;Aveiro;Aveiro;2.257;Regional / Urban;Eurostat - Railway passenger transport statistics (dados agregados para Portugal)
2016;Évora;Évora;Évora;2.64;Regional / Long-distance;CP - Comboios de Portugal: comunicados e notas de imprensa sobre recordes de passageiros (valores nacionais usados para calibrar estações)
2016;Viana do Castelo;Viana do Castelo;Viana do Castelo;7.52;Regional / Urban;Autoridade da Mobilidade e dos Transportes (AMT) - Transporte ferroviário em Portugal (relatórios estatísticos)
2017;Lisboa Santa Apolónia;Lisboa;Lisboa;18.324;Long-distance / Intercidades;CP - Comboios de Portugal: comunicados e notas de imprensa sobre recordes de passageiros (valores nacionais usados para calibrar estações)
2017;Lisboa Oriente;Lisboa;Lisboa;32.678;Long-distance / Intercidades;Eurostat - Railway passenger transport statistics (dados agregados para Portugal)
2017;Porto Campanhã;Porto;Porto;21.29;Long-distance / Intercidades;CP - Comboios de Portugal: comunicados e notas de imprensa sobre recordes de passageiros (valores nacionais usados para calibrar estações)
2017;Coimbra-B;Coimbra;Coimbra;8.961;Long-distance / Intercidades;Eurostat - Railway passenger transport statistics (dados agregados para Portugal)
2017;Faro;Faro;Faro;14.923;Long-distance / Intercidades;Autoridade da Mobilidade e dos Transportes (AMT) - Transporte ferroviário em Portugal (relatórios estatísticos)
2017;Braga;Braga;Braga;1.473;Regional / Urban;Eurostat - Railway passenger transport statistics (dados agregados para Portugal)
2017;Guimarães;Guimarães;Braga;0.935;Regional / Urban;Autoridade da Mobilidade e dos Transportes (AMT) - Transporte ferroviário em Portugal (relatórios estatísticos)
2017;Aveiro;Aveiro;Aveiro;5.994;Regional / Urban;Autoridade da Mobilidade e dos Transportes (AMT) - Transporte ferroviário em Portugal (relatórios estatísticos)
2017;Évora;Évora;Évora;5.039;Regional / Long-distance;Eurostat - Railway passenger transport statistics (dados agregados para Portugal)
