year;station_name;city;Region;Annual_passengers_millions;Type;source
2014;Madrid Puerta de Atocha;Madrid;Comunidad de Madrid;55.58;Larga Distancia / AVE;ADIF - Estadísticas de tráfico ferroviario por estación (viajeros anuales)
2014;Madrid Chamartín;Madrid;Comunidad de Madrid;78.09;Larga Distancia / AVE;Renfe Viajeros - Cuentas anuales e informes de gestión (viajeros por servicios AVE, Larga Distancia, Media Distancia)
2014;Barcelona Sants;Barcelona;Cataluña;68.25;Larga Distancia / AVE;Renfe Viajeros - Cuentas anuales e informes de gestión (viajeros por servicios AVE, Larga Distancia, Media Distancia)
2014;Valencia Joaquín Sorolla;Valencia;Comunidad Valenciana;37.17;Larga Distancia / AVE;Renfe Viajeros - Cuentas anuales e informes de gestión (viajeros por servicios AVE, Larga Distancia, Media Distancia)
2014;Sevilla Santa Justa;Sevilla;Andalucía;31.66;Larga Distancia / AVE;Renfe Viajeros - Cuentas anuales e informes de gestión (viajeros por servicios AVE, Larga Distancia, Media Distancia)
2014;Málaga María Zambrano;Málaga;Andalucía;51.1;Larga Distancia / AVE;Estaciones de ferrocarril en España por número de viajeros (Wikipedia, basado en datos ADIF/Renfe)
2014;Zaragoza Delicias;Zaragoza;Aragón;26.42;Larga Distancia / AVE;Estaciones de ferrocarril en España por número de viajeros (Wikipedia, basado en datos ADIF/Renfe)
2014;Alicante Terminal;Alicante;Comunidad Valenciana;17.83;Larga Distancia / AVE;Renfe Viajeros - Cuentas anuales e informes de gestión (viajeros por servicios AVE, Larga Distancia, Media Distancia)
2014;Bilbao-Abando Indalecio Prieto;Bilbao;País Vasco;15.91;Larga Distancia;ADIF - Estadísticas de tráfico ferroviario por estación (viajeros anuales)
2014;Santander;Santander;Cantabria;4.01;Larga Distancia;ADIF - Estadísticas de tráfico ferroviario por estación (viajeros anuales)
2014;Valladolid Campo Grande;Valladolid;Castilla y León;16.88;Larga Distancia;Renfe Viajeros - Cuentas anuales e informes de gestión (viajeros por servicios AVE, Larga Distancia, Media Distancia)
2014;Córdoba Central;Córdoba;Andalucía;24.1;Larga Distancia / AVE;Estaciones de ferrocarril en España por número de viajeros (Wikipedia, basado en datos ADIF/Renfe)
2014;Granada;Granada;Andalucía;2.39;Larga Distancia / AVE;ADIF - Estadísticas de tráfico ferroviario por estación (viajeros anuales)
2014;Murcia del Carmen;Murcia;Región de Murcia;22.9;Media Distancia / Cercanías;ADIF - Estadísticas de tráfico ferroviario por estación (viajeros anuales)
2014;La Coruña-San Cristóbal;A Coruña;Galicia;17.87;Larga Distancia / Media Distancia;Renfe Viajeros - Cuentas anuales e informes de gestión (viajeros por servicios AVE, Larga Distancia, Media Distancia)
2014;Santiago de Compostela;Santiago de Compostela;Galicia;11.93;Larga Distancia / Media Distancia;ADIF - Estadísticas de tráfico ferroviario por estación (viajeros anuales)
2014;Oviedo;Oviedo;Asturias;22.34;Media Distancia;Renfe Viajeros - Cuentas anuales e informes de gestión (viajeros por servicios AVE, Larga Distancia, Media Distancia)
2014;Gijón;Gijón;Asturias;22.65;Media Distancia;Estaciones de ferrocarril en España por número de viajeros (Wikipedia, basado en datos ADIF/Renfe)
2014;Logroño;Logroño;La Rioja;8.77;Media Distancia;Renfe Viajeros - Cuentas anuales e informes de gestión (viajeros por servicios AVE, Larga Distancia, Media Distancia)
2014;Pamplona;Pamplona;Navarra;19.9;Media Distancia;Estaciones de ferrocarril en España por número de viajeros (Wikipedia, basado en datos ADIF/Renfe)
2015;Madrid Puerta de Atocha;Madrid;Comunidad de Madrid;66.36;Larga Distancia / AVE;Renfe Viajeros - Cuentas anuales e informes de gestión (viajeros por servicios AVE, Larga Distancia, Media Distancia)
