year;station_name;city;Region;Annual_passengers_millions;Type;source
2014;Zürich HB;Zürich;Zürich;143.34;Long-distance;SBB Facts & Figures - Stations (passenger frequencies by station, annual entries/exits)
2014;Bern;Bern;Bern;84.83;Long-distance;SBB Annual Report - Passenger transport (total rail passengers, used to calibrate station volumes)
2014;Genève;Genève;Genève;84.03;Long-distance;SBB Facts & Figures - Stations (passenger frequencies by station, annual entries/exits)
2014;Basel SBB;Basel;Basel-Stadt;77.83;Long-distance;SBB Facts & Figures - Stations (passenger frequencies by station, annual entries/exits)
2014;Lausanne;Lausanne;Vaud;101.11;Long-distance;List of busiest railway stations in Switzerland (Wikipedia, based on SBB data)
2014;Luzern;Luzern;Luzern;27.71;Long-distance;SBB Facts & Figures - Stations (passenger frequencies by station, annual entries/exits)
2014;Winterthur;Winterthur;Zürich;34.6;Regional;List of busiest railway stations in Switzerland (Wikipedia, based on SBB data)
2014;St. Gallen;St. Gallen;St. Gallen;32.8;Regional;SBB Annual Report - Passenger transport (total rail passengers, used to calibrate station volumes)
2014;Biel/Bienne;Biel/Bienne;Bern;27.92;Regional;SBB Facts & Figures - Stations (passenger frequencies by station, annual entries/exits)
2014;Fribourg/Freiburg;Fribourg;Fribourg;35.13;Regional;SBB Annual Report - Passenger transport (total rail passengers, used to calibrate station volumes)
2014;Neuchâtel;Neuchâtel;Neuchâtel;19.6;Regional;SBB Facts & Figures - Stations (passenger frequencies by station, annual entries/exits)
2014;Lugano;Lugano;Ticino;29.44;Long-distance;SBB Facts & Figures - Stations (passenger frequencies by station, annual entries/exits)
2014;Bellinzona;Bellinzona;Ticino;37.51;Regional;List of busiest railway stations in Switzerland (Wikipedia, based on SBB data)
2014;Aarau;Aarau;Aargau;47.11;Regional;List of busiest railway stations in Switzerland (Wikipedia, based on SBB data)
2014;Olten;Olten;Solothurn;46.44;Long-distance;SBB Annual Report - Passenger transport (total rail passengers, used to calibrate station volumes)
2014;Zug;Zug;Zug;15.43;Regional;SBB Annual Report - Passenger transport (total rail passengers, used to calibrate station volumes)
2014;Zürich Oerlikon;Zürich;Zürich;11.38;Regional;SBB Annual Report - Passenger transport (total rail passengers, used to calibrate station volumes)
2014;Zürich Stadelhofen;Zürich;Zürich;23.64;Regional;List of busiest railway stations in Switzerland (Wikipedia, based on SBB data)
2014;Thun;Thun;Bern;33.95;Regional;SBB Facts & Figures - Stations (passenger frequencies by station, annual entries/exits)
2014;Chur;Chur;Graubünden;38.0;Long-distance;List of busiest railway stations in Switzerland (Wikipedia, based on SBB data)
2015;Zürich HB;Zürich;Zürich;136.63;Long-distance;SBB Facts & Figures - Stations (passenger frequencies by station, annual entries/exits)
2015;Bern;Bern;Bern;67.52;Long-distance;List of busiest railway stations in Switzerland (Wikipedia, based on SBB data)
2015;Genève;Genève;Genève;101.32;Long-distance;SBB Facts & Figures - Stations (passenger frequencies by station, annual entries/exits)
2015;Basel SBB;Basel;Basel-Stadt;59.4;Long-distance;SBB Annual Report - Passenger transport (total rail passengers, used to calibrate station volumes)
2015;Lausanne;Lausanne;Vaud;96.14;Long-distance;SBB Annual Report - Passenger transport (total rail passengers, used to calibrate station volumes)
2015;Luzern;Luzern;Luzern;34.27;Long-distance;List of busiest railway stations in Switzerland (Wikipedia, based on SBB data)
2015;Winterthur;Winterthur;Zürich;9.08;Regional;List of busiest railway stations in Switzerland (Wikipedia, based on SBB data)
2015;St. Gallen;St. Gallen;St. Gallen;38.82;Regional;SBB Annual Report - Passenger transport (total rail passengers, used to calibrate station volumes)
2015;Biel/Bienne;Biel/Bienne;Bern;35.06;Regional;SBB Facts & Figures - Stations (passenger frequencies by station, annual entries/exits)
2015;Fribourg/Freiburg;Fribourg;Fribourg;28.67;Regional;SBB Facts & Figures - Stations (passenger frequencies by station, annual entries/exits)
2015;Neuchâtel;Neuchâtel;Neuchâtel;9.7;Regional;SBB Annual Report - Passenger transport (total rail passengers, used to calibrate station volumes)
2015;Lugano;Lugano;Ticino;18.64;Long-distance;SBB Annual Report - Passenger transport (total rail passengers, used to calibrate station volumes)
2015;Bellinzona;Bellinzona;Ticino;43.74;Regional;List of busiest railway stations in Switzerland (Wikipedia, based on SBB data)
2015;Aarau;Aarau;Aargau;44.57;Regional;List of busiest railway stations in Switzerland (Wikipedia, based on SBB data)
2015;Olten;Olten;Solothurn;26.15;Long-distance;SBB Facts & Figures - Stations (passenger frequencies by station, annual entries/exits)
2015;Zug;Zug;Zug;28.31;Regional;SBB Annual Report - Passenger transport (total rail passengers, used to calibrate station volumes)
2015;Zürich Oerlikon;Zürich;Zürich;10.8;Regional;SBB Annual Report - Passenger transport (total rail passengers, used to calibrate station volumes)
2015;Zürich Stadelhofen;Zürich;Zürich;29.16;Regional;SBB Facts & Figures - Stations (passenger frequencies by station, annual entries/exits)
2015;Thun;Thun;Bern;51.63;Regional;SBB Annual Report - Passenger transport (total rail passengers, used to calibrate station volumes)
2015;Chur;Chur;Graubünden;40.09;Long-distance;List of busiest railway stations in Switzerland (Wikipedia, based on SBB data)
