No.;year;origin_country;origin_station_name;origin_city;origin_region;destination_country;destination_station_name;destination_city;destination_region;Passengers_millions;Type
1;2016;Italy;Milano Centrale;Milano;Lombardia;Germany;München Hbf;München;Bayern;1.918;Long-distance
2;2016;Italy;Bolzano;Bolzano;Trentino-Alto Adige;Germany;München Hbf;München;Bayern;2.077;Long-distance
3;2016;Italy;Milano Centrale;Milano;Lombardia;Switzerland;Zürich HB;Zürich;Zürich;0.705;Long-distance
4;2016;Italy;Milano Centrale;Milano;Lombardia;Switzerland;Lugano;Lugano;Ticino;0.258;Long-distance
5;2016;Italy;Domodossola;Domodossola;Piemonte;Switzerland;Brig;Brig;Valais;0.158;Long-distance
6;2016;Italy;Milano Centrale;Milano;Lombardia;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;2.328;Long-distance
7;2016;Italy;Torino Porta Susa;Torino;Piemonte;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;2.881;Long-distance
8;2016;Italy;Milano Centrale;Milano;Lombardia;France;Paris Gare de Lyon;Paris;Île-de-France;2.236;Long-distance
9;2016;France;Paris Gare de Lyon;Paris;Île-de-France;Switzerland;Genève;Genève;Genève;1.451;Long-distance
10;2016;France;Paris Gare de Lyon;Paris;Île-de-France;Switzerland;Lausanne;Lausanne;Vaud;0.37;Long-distance
11;2016;France;Mulhouse Ville;Mulhouse;Grand Est;Switzerland;Basel SBB;Basel;Basel-Stadt;0.73;Regional
12;2016;France;Annemasse;Annemasse;Auvergne-Rhône-Alpes;Switzerland;Genève;Genève;Genève;0.154;Regional
13;2016;France;Paris Est;Paris;Île-de-France;Germany;Frankfurt (Main) Hbf;Frankfurt am Main;Hessen;1.388;Long-distance
14;2016;France;Paris Est;Paris;Île-de-France;Germany;München Hbf;München;Bayern;2.017;Long-distance
15;2016;France;Strasbourg;Strasbourg;Grand Est;Germany;Stuttgart Hbf;Stuttgart;Baden-Württemberg;0.346;Long-distance
16;2016;France;Paris Gare de Lyon;Paris;Île-de-France;Spain;Barcelona Sants;Barcelona;Cataluña;1.319;Long-distance
17;2016;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;Spain;Barcelona Sants;Barcelona;Cataluña;0.313;Long-distance
18;2016;France;Toulouse Matabiau;Toulouse;Occitanie;Spain;Barcelona Sants;Barcelona;Cataluña;1.988;Long-distance
19;2016;Portugal;Lisboa Santa Apolónia;Lisboa;Lisboa;Spain;Madrid Chamartín;Madrid;Comunidad de Madrid;0.975;Long-distance
20;2016;Portugal;Porto Campanhã;Porto;Porto;Spain;Vigo Guixar;Vigo;Galicia;0.244;Regional
21;2016;Portugal;Viana do Castelo;Viana do Castelo;Viana do Castelo;Spain;Vigo Guixar;Vigo;Galicia;0.356;Regional
22;2016;Portugal;Lisboa Santa Apolónia;Lisboa;Lisboa;France;Hendaye;Hendaye;Nouvelle-Aquitaine;1.003;Long-distance
23;2017;Italy;Milano Centrale;Milano;Lombardia;Germany;München Hbf;München;Bayern;2.461;Long-distance
24;2017;Italy;Bolzano;Bolzano;Trentino-Alto Adige;Germany;München Hbf;München;Bayern;1.929;Long-distance
25;2017;Italy;Milano Centrale;Milano;Lombardia;Switzerland;Zürich HB;Zürich;Zürich;0.673;Long-distance
26;2017;Italy;Milano Centrale;Milano;Lombardia;Switzerland;Lugano;Lugano;Ticino;0.378;Long-distance
27;2017;Italy;Domodossola;Domodossola;Piemonte;Switzerland;Brig;Brig;Valais;0.062;Long-distance
28;2017;Italy;Milano Centrale;Milano;Lombardia;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;2.082;Long-distance
29;2017;Italy;Torino Porta Susa;Torino;Piemonte;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;2.016;Long-distance
30;2017;Italy;Milano Centrale;Milano;Lombardia;France;Paris Gare de Lyon;Paris;Île-de-France;1.208;Long-distance
31;2017;France;Paris Gare de Lyon;Paris;Île-de-France;Switzerland;Genève;Genève;Genève;2.186;Long-distance
32;2017;France;Paris Gare de Lyon;Paris;Île-de-France;Switzerland;Lausanne;Lausanne;Vaud;0.54;Long-distance
33;2017;France;Mulhouse Ville;Mulhouse;Grand Est;Switzerland;Basel SBB;Basel;Basel-Stadt;0.276;Regional
34;2017;France;Annemasse;Annemasse;Auvergne-Rhône-Alpes;Switzerland;Genève;Genève;Genève;0.384;Regional
35;2017;France;Paris Est;Paris;Île-de-France;Germany;Frankfurt (Main) Hbf;Frankfurt am Main;Hessen;2.071;Long-distance
36;2017;France;Paris Est;Paris;Île-de-France;Germany;München Hbf;München;Bayern;1.599;Long-distance
37;2017;France;Strasbourg;Strasbourg;Grand Est;Germany;Stuttgart Hbf;Stuttgart;Baden-Württemberg;0.676;Long-distance
38;2017;France;Paris Gare de Lyon;Paris;Île-de-France;Spain;Barcelona Sants;Barcelona;Cataluña;0.486;Long-distance
39;2017;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;Spain;Barcelona Sants;Barcelona;Cataluña;2.749;Long-distance
40;2017;France;Toulouse Matabiau;Toulouse;Occitanie;Spain;Barcelona Sants;Barcelona;Cataluña;1.563;Long-distance
41;2017;Portugal;Lisboa Santa Apolónia;Lisboa;Lisboa;Spain;Madrid Chamartín;Madrid;Comunidad de Madrid;2.642;Long-distance
42;2017;Portugal;Porto Campanhã;Porto;Porto;Spain;Vigo Guixar;Vigo;Galicia;0.758;Regional
43;2017;Portugal;Viana do Castelo;Viana do Castelo;Viana do Castelo;Spain;Vigo Guixar;Vigo;Galicia;0.102;Regional
44;2017;Portugal;Lisboa Santa Apolónia;Lisboa;Lisboa;France;Hendaye;Hendaye;Nouvelle-Aquitaine;2.087;Long-distance
45;2018;Italy;Milano Centrale;Milano;Lombardia;Germany;München Hbf;München;Bayern;2.425;Long-distance
46;2018;Italy;Bolzano;Bolzano;Trentino-Alto Adige;Germany;München Hbf;München;Bayern;1.869;Long-distance
47;2018;Italy;Milano Centrale;Milano;Lombardia;Switzerland;Zürich HB;Zürich;Zürich;1.947;Long-distance
48;2018;Italy;Milano Centrale;Milano;Lombardia;Switzerland;Lugano;Lugano;Ticino;2.163;Long-distance
49;2018;Italy;Domodossola;Domodossola;Piemonte;Switzerland;Brig;Brig;Valais;0.171;Long-distance
50;2018;Italy;Milano Centrale;Milano;Lombardia;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;0.596;Long-distance
51;2018;Italy;Torino Porta Susa;Torino;Piemonte;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;1.784;Long-distance
52;2018;Italy;Milano Centrale;Milano;Lombardia;France;Paris Gare de Lyon;Paris;Île-de-France;1.64;Long-distance
53;2018;France;Paris Gare de Lyon;Paris;Île-de-France;Switzerland;Genève;Genève;Genève;2.412;Long-distance
54;2018;France;Paris Gare de Lyon;Paris;Île-de-France;Switzerland;Lausanne;Lausanne;Vaud;2.992;Long-distance
55;2018;France;Mulhouse Ville;Mulhouse;Grand Est;Switzerland;Basel SBB;Basel;Basel-Stadt;2.591;Regional
56;2018;France;Annemasse;Annemasse;Auvergne-Rhône-Alpes;Switzerland;Genève;Genève;Genève;0.192;Regional
57;2018;France;Paris Est;Paris;Île-de-France;Germany;Frankfurt (Main) Hbf;Frankfurt am Main;Hessen;0.286;Long-distance
58;2018;France;Paris Est;Paris;Île-de-France;Germany;München Hbf;München;Bayern;1.03;Long-distance
59;2018;France;Strasbourg;Strasbourg;Grand Est;Germany;Stuttgart Hbf;Stuttgart;Baden-Württemberg;0.17;Long-distance
60;2018;France;Paris Gare de Lyon;Paris;Île-de-France;Spain;Barcelona Sants;Barcelona;Cataluña;1.278;Long-distance
61;2018;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;Spain;Barcelona Sants;Barcelona;Cataluña;0.271;Long-distance
62;2018;France;Toulouse Matabiau;Toulouse;Occitanie;Spain;Barcelona Sants;Barcelona;Cataluña;2.059;Long-distance
63;2018;Portugal;Lisboa Santa Apolónia;Lisboa;Lisboa;Spain;Madrid Chamartín;Madrid;Comunidad de Madrid;2.381;Long-distance
64;2018;Portugal;Porto Campanhã;Porto;Porto;Spain;Vigo Guixar;Vigo;Galicia;0.401;Regional
65;2018;Portugal;Viana do Castelo;Viana do Castelo;Viana do Castelo;Spain;Vigo Guixar;Vigo;Galicia;0.42;Regional
66;2018;Portugal;Lisboa Santa Apolónia;Lisboa;Lisboa;France;Hendaye;Hendaye;Nouvelle-Aquitaine;0.772;Long-distance
67;2019;Italy;Milano Centrale;Milano;Lombardia;Germany;München Hbf;München;Bayern;1.87;Long-distance
68;2019;Italy;Bolzano;Bolzano;Trentino-Alto Adige;Germany;München Hbf;München;Bayern;2.22;Long-distance
69;2019;Italy;Milano Centrale;Milano;Lombardia;Switzerland;Zürich HB;Zürich;Zürich;0.307;Long-distance
70;2019;Italy;Milano Centrale;Milano;Lombardia;Switzerland;Lugano;Lugano;Ticino;0.582;Long-distance
71;2019;Italy;Domodossola;Domodossola;Piemonte;Switzerland;Brig;Brig;Valais;0.23;Long-distance
72;2019;Italy;Milano Centrale;Milano;Lombardia;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;0.949;Long-distance
73;2019;Italy;Torino Porta Susa;Torino;Piemonte;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;1.46;Long-distance
74;2019;Italy;Milano Centrale;Milano;Lombardia;France;Paris Gare de Lyon;Paris;Île-de-France;2.726;Long-distance
75;2019;France;Paris Gare de Lyon;Paris;Île-de-France;Switzerland;Genève;Genève;Genève;0.335;Long-distance
76;2019;France;Paris Gare de Lyon;Paris;Île-de-France;Switzerland;Lausanne;Lausanne;Vaud;1.153;Long-distance
77;2019;France;Mulhouse Ville;Mulhouse;Grand Est;Switzerland;Basel SBB;Basel;Basel-Stadt;0.775;Regional
78;2019;France;Annemasse;Annemasse;Auvergne-Rhône-Alpes;Switzerland;Genève;Genève;Genève;0.789;Regional
79;2019;France;Paris Est;Paris;Île-de-France;Germany;Frankfurt (Main) Hbf;Frankfurt am Main;Hessen;0.542;Long-distance
80;2019;France;Paris Est;Paris;Île-de-France;Germany;München Hbf;München;Bayern;1.718;Long-distance
81;2019;France;Strasbourg;Strasbourg;Grand Est;Germany;Stuttgart Hbf;Stuttgart;Baden-Württemberg;0.302;Long-distance
82;2019;France;Paris Gare de Lyon;Paris;Île-de-France;Spain;Barcelona Sants;Barcelona;Cataluña;0.494;Long-distance
83;2019;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;Spain;Barcelona Sants;Barcelona;Cataluña;1.481;Long-distance
84;2019;France;Toulouse Matabiau;Toulouse;Occitanie;Spain;Barcelona Sants;Barcelona;Cataluña;0.361;Long-distance
85;2019;Portugal;Lisboa Santa Apolónia;Lisboa;Lisboa;Spain;Madrid Chamartín;Madrid;Comunidad de Madrid;1.057;Long-distance
86;2019;Portugal;Porto Campanhã;Porto;Porto;Spain;Vigo Guixar;Vigo;Galicia;0.312;Regional
87;2019;Portugal;Viana do Castelo;Viana do Castelo;Viana do Castelo;Spain;Vigo Guixar;Vigo;Galicia;0.052;Regional
88;2019;Portugal;Lisboa Santa Apolónia;Lisboa;Lisboa;France;Hendaye;Hendaye;Nouvelle-Aquitaine;1.62;Long-distance
89;2020;Italy;Milano Centrale;Milano;Lombardia;Germany;München Hbf;München;Bayern;1.005;Long-distance
90;2020;Italy;Bolzano;Bolzano;Trentino-Alto Adige;Germany;München Hbf;München;Bayern;0.694;Long-distance
91;2020;Italy;Milano Centrale;Milano;Lombardia;Switzerland;Zürich HB;Zürich;Zürich;1.519;Long-distance
92;2020;Italy;Milano Centrale;Milano;Lombardia;Switzerland;Lugano;Lugano;Ticino;2.185;Long-distance
93;2020;Italy;Domodossola;Domodossola;Piemonte;Switzerland;Brig;Brig;Valais;0.736;Long-distance
94;2020;Italy;Milano Centrale;Milano;Lombardia;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;0.558;Long-distance
95;2020;Italy;Torino Porta Susa;Torino;Piemonte;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;1.462;Long-distance
96;2020;Italy;Milano Centrale;Milano;Lombardia;France;Paris Gare de Lyon;Paris;Île-de-France;0.497;Long-distance
97;2020;France;Paris Gare de Lyon;Paris;Île-de-France;Switzerland;Genève;Genève;Genève;0.353;Long-distance
98;2020;France;Paris Gare de Lyon;Paris;Île-de-France;Switzerland;Lausanne;Lausanne;Vaud;0.98;Long-distance
99;2020;France;Mulhouse Ville;Mulhouse;Grand Est;Switzerland;Basel SBB;Basel;Basel-Stadt;2.131;Regional
100;2020;France;Annemasse;Annemasse;Auvergne-Rhône-Alpes;Switzerland;Genève;Genève;Genève;0.57;Regional
101;2020;France;Paris Est;Paris;Île-de-France;Germany;Frankfurt (Main) Hbf;Frankfurt am Main;Hessen;1.015;Long-distance
102;2020;France;Paris Est;Paris;Île-de-France;Germany;München Hbf;München;Bayern;0.29;Long-distance
103;2020;France;Strasbourg;Strasbourg;Grand Est;Germany;Stuttgart Hbf;Stuttgart;Baden-Württemberg;0.865;Long-distance
104;2020;France;Paris Gare de Lyon;Paris;Île-de-France;Spain;Barcelona Sants;Barcelona;Cataluña;1.333;Long-distance
