No.;year;origin_country;origin_station_name;origin_city;origin_region;destination_country;destination_station_name;destination_city;destination_region;Passengers_millions;Type
397;2016;France;Paris Gare du Nord;Paris;Île-de-France;France;Paris Gare de Lyon;Paris;Île-de-France;1.05;TGV/Intercités
398;2016;France;Paris Gare du Nord;Paris;Île-de-France;France;Paris Saint-Lazare;Paris;Île-de-France;1.13;TGV/Intercités
399;2016;France;Paris Gare du Nord;Paris;Île-de-France;France;Paris Montparnasse;Paris;Île-de-France;0.88;TGV/Intercités
400;2016;France;Paris Gare du Nord;Paris;Île-de-France;France;Paris Est;Paris;Île-de-France;0.93;TGV/Intercités
401;2016;France;Paris Gare du Nord;Paris;Île-de-France;France;Paris Austerlitz;Paris;Île-de-France;0.89;TGV/Intercités
402;2016;France;Paris Gare du Nord;Paris;Île-de-France;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;9.15;TGV/Intercités
403;2016;France;Paris Gare du Nord;Paris;Île-de-France;France;Lyon Perrache;Lyon;Auvergne-Rhône-Alpes;8.91;TGV/Intercités
404;2016;France;Paris Gare du Nord;Paris;Île-de-France;France;Marseille Saint-Charles;Marseille;Provence-Alpes-Côte d'Azur;6.52;TGV/Intercités
405;2016;France;Paris Gare du Nord;Paris;Île-de-France;France;Lille Flandres;Lille;Hauts-de-France;7.3;TGV/Intercités
406;2016;France;Paris Gare du Nord;Paris;Île-de-France;France;Lille Europe;Lille;Hauts-de-France;6.78;TGV/Intercités
407;2016;France;Paris Gare du Nord;Paris;Île-de-France;France;Bordeaux Saint-Jean;Bordeaux;Nouvelle-Aquitaine;5.39;TGV/Intercités
408;2016;France;Paris Gare du Nord;Paris;Île-de-France;France;Toulouse Matabiau;Toulouse;Occitanie;4.11;TGV/Intercités
409;2016;France;Paris Gare du Nord;Paris;Île-de-France;France;Nantes;Nantes;Pays de la Loire;4.05;TGV/Intercités
410;2016;France;Paris Gare du Nord;Paris;Île-de-France;France;Rennes;Rennes;Bretagne;4.4;TGV/Intercités
411;2016;France;Paris Gare du Nord;Paris;Île-de-France;France;Strasbourg;Strasbourg;Grand Est;4.48;TGV/Intercités
412;2016;France;Paris Gare de Lyon;Paris;Île-de-France;France;Paris Gare du Nord;Paris;Île-de-France;0.9;TGV/Intercités
413;2016;France;Paris Gare de Lyon;Paris;Île-de-France;France;Paris Saint-Lazare;Paris;Île-de-France;0.98;TGV/Intercités
414;2016;France;Paris Gare de Lyon;Paris;Île-de-France;France;Paris Montparnasse;Paris;Île-de-France;1.12;TGV/Intercités
415;2016;France;Paris Gare de Lyon;Paris;Île-de-France;France;Paris Est;Paris;Île-de-France;0.93;TGV/Intercités
416;2016;France;Paris Gare de Lyon;Paris;Île-de-France;France;Paris Austerlitz;Paris;Île-de-France;1.1;TGV/Intercités
417;2016;France;Paris Gare de Lyon;Paris;Île-de-France;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;6.86;TGV/Intercités
418;2016;France;Paris Gare de Lyon;Paris;Île-de-France;France;Lyon Perrache;Lyon;Auvergne-Rhône-Alpes;7.17;TGV/Intercités
419;2016;France;Paris Gare de Lyon;Paris;Île-de-France;France;Marseille Saint-Charles;Marseille;Provence-Alpes-Côte d'Azur;6.41;TGV/Intercités
420;2016;France;Paris Gare de Lyon;Paris;Île-de-France;France;Lille Flandres;Lille;Hauts-de-France;6.06;TGV/Intercités
421;2016;France;Paris Gare de Lyon;Paris;Île-de-France;France;Lille Europe;Lille;Hauts-de-France;7.29;TGV/Intercités
422;2016;France;Paris Gare de Lyon;Paris;Île-de-France;France;Bordeaux Saint-Jean;Bordeaux;Nouvelle-Aquitaine;4.77;TGV/Intercités
423;2016;France;Paris Gare de Lyon;Paris;Île-de-France;France;Toulouse Matabiau;Toulouse;Occitanie;4.33;TGV/Intercités
424;2016;France;Paris Gare de Lyon;Paris;Île-de-France;France;Nantes;Nantes;Pays de la Loire;3.7;TGV/Intercités
425;2016;France;Paris Gare de Lyon;Paris;Île-de-France;France;Rennes;Rennes;Bretagne;4.37;TGV/Intercités
426;2016;France;Paris Gare de Lyon;Paris;Île-de-France;France;Strasbourg;Strasbourg;Grand Est;4.2;TGV/Intercités
427;2016;France;Paris Saint-Lazare;Paris;Île-de-France;France;Paris Gare du Nord;Paris;Île-de-France;0.97;TGV/Intercités
428;2016;France;Paris Saint-Lazare;Paris;Île-de-France;France;Paris Gare de Lyon;Paris;Île-de-France;1.06;TGV/Intercités
429;2016;France;Paris Saint-Lazare;Paris;Île-de-France;France;Paris Montparnasse;Paris;Île-de-France;0.85;TGV/Intercités
430;2016;France;Paris Saint-Lazare;Paris;Île-de-France;France;Paris Est;Paris;Île-de-France;1.08;TGV/Intercités
431;2016;France;Paris Saint-Lazare;Paris;Île-de-France;France;Paris Austerlitz;Paris;Île-de-France;0.92;TGV/Intercités
432;2016;France;Paris Saint-Lazare;Paris;Île-de-France;France;Lyon Part-Dieu;Lyon;Auvergne-Rhône-Alpes;6.9;TGV/Intercités
433;2016;France;Paris Saint-Lazare;Paris;Île-de-France;France;Lyon Perrache;Lyon;Auvergne-Rhône-Alpes;9.09;TGV/Intercités
434;2016;France;Paris Saint-Lazare;Paris;Île-de-France;France;Marseille Saint-Charles;Marseille;Provence-Alpes-Côte d'Azur;5.35;TGV/Intercités
