No.;year;origin_country;origin_station_name;origin_city;origin_region;destination_country;destination_station_name;destination_city;destination_region;Passengers_millions;Type
2667;2016;Italy;Milano Centrale;Milano;Lombardia;Italy;Napoli Centrale;Napoli;Campania;5.73;Alta Velocita
2668;2016;Italy;Milano Centrale;Milano;Lombardia;Italy;Torino Porta Nuova;Torino;Piemonte;9.118;Alta Velocita
2669;2016;Italy;Milano Centrale;Milano;Lombardia;Italy;Venezia Santa Lucia;Venezia;Veneto;3.384;Alta Velocita
2670;2016;Italy;Napoli Centrale;Napoli;Campania;Italy;Roma Termini;Roma;Lazio;3.396;Alta Velocita
2671;2016;Italy;Torino Porta Nuova;Torino;Piemonte;Italy;Bari Centrale;Bari;Puglia;4.304;Intercity
2672;2016;Italy;Bologna Centrale;Bologna;Emilia-Romagna;Italy;Torino Porta Nuova;Torino;Piemonte;3.918;Alta Velocita
2673;2016;Italy;Firenze S. M. Novella;Firenze;Toscana;Italy;Milano Centrale;Milano;Lombardia;1.225;Alta Velocita
2674;2016;Italy;Firenze S. M. Novella;Firenze;Toscana;Italy;Napoli Centrale;Napoli;Campania;0.747;Alta Velocita
2675;2016;Italy;Venezia Santa Lucia;Venezia;Veneto;Italy;Napoli Centrale;Napoli;Campania;3.887;Intercity
2676;2016;Italy;Genova Piazza Principe;Genova;Liguria;Italy;Bologna Centrale;Bologna;Emilia-Romagna;3.01;Intercity
2677;2016;Italy;Genova Piazza Principe;Genova;Liguria;Italy;Firenze S. M. Novella;Firenze;Toscana;1.322;Intercity
2678;2017;Italy;Roma Termini;Roma;Lazio;Italy;Bari Centrale;Bari;Puglia;2.344;Alta Velocita
2679;2017;Italy;Milano Centrale;Milano;Lombardia;Italy;Palermo Centrale;Palermo;Sicilia;1.172;Alta Velocita
2680;2017;Italy;Milano Centrale;Milano;Lombardia;Italy;Bari Centrale;Bari;Puglia;3.414;Alta Velocita
2681;2017;Italy;Napoli Centrale;Napoli;Campania;Italy;Bologna Centrale;Bologna;Emilia-Romagna;3.6;Alta Velocita
2682;2017;Italy;Napoli Centrale;Napoli;Campania;Italy;Genova Piazza Principe;Genova;Liguria;2.46;Alta Velocita
2683;2017;Italy;Torino Porta Nuova;Torino;Piemonte;Italy;Napoli Centrale;Napoli;Campania;2.615;Intercity
2684;2017;Italy;Torino Porta Nuova;Torino;Piemonte;Italy;Firenze S. M. Novella;Firenze;Toscana;1.357;Intercity
2685;2017;Italy;Bologna Centrale;Bologna;Emilia-Romagna;Italy;Roma Termini;Roma;Lazio;3.844;Alta Velocita
2686;2017;Italy;Bologna Centrale;Bologna;Emilia-Romagna;Italy;Milano Centrale;Milano;Lombardia;0.222;Alta Velocita
2687;2017;Italy;Bologna Centrale;Bologna;Emilia-Romagna;Italy;Venezia Santa Lucia;Venezia;Veneto;2.918;Alta Velocita
2688;2017;Italy;Genova Piazza Principe;Genova;Liguria;Italy;Roma Termini;Roma;Lazio;0.594;Intercity
2689;2017;Italy;Genova Piazza Principe;Genova;Liguria;Italy;Napoli Centrale;Napoli;Campania;2.867;Intercity
