No.;year;origin_country;origin_station_name;origin_city;origin_region;destination_country;destination_station_name;destination_city;destination_region;Passengers_millions;Type
2762;2016;Portugal;Lisboa Santa Apolónia;Lisboa;Lisboa;Portugal;Lisboa Oriente;Lisboa;Lisboa;0.1;Long-distance / Intercidades
2763;2016;Portugal;Porto Campanhã;Porto;Porto;Portugal;Coimbra-B;Coimbra;Coimbra;2.877;Long-distance / Intercidades
2764;2016;Portugal;Porto Campanhã;Porto;Porto;Portugal;Évora;Évora;Évora;0.973;Long-distance / Intercidades
2765;2016;Portugal;Coimbra-B;Coimbra;Coimbra;Portugal;Guimarães;Guimarães;Braga;1.089;Long-distance / Intercidades
2766;2016;Portugal;Faro;Faro;Faro;Portugal;Braga;Braga;Braga;0.834;Long-distance / Intercidades
2767;2016;Portugal;Faro;Faro;Faro;Portugal;Évora;Évora;Évora;0.468;Long-distance / Intercidades
2768;2016;Portugal;Faro;Faro;Faro;Portugal;Viana do Castelo;Viana do Castelo;Viana do Castelo;0.435;Long-distance / Intercidades
2769;2016;Portugal;Braga;Braga;Braga;Portugal;Lisboa Santa Apolónia;Lisboa;Lisboa;0.542;Regional / Urban
2770;2016;Portugal;Braga;Braga;Braga;Portugal;Guimarães;Guimarães;Braga;0.901;Regional / Urban
2771;2016;Portugal;Braga;Braga;Braga;Portugal;Évora;Évora;Évora;0.857;Regional / Urban
2772;2016;Portugal;Guimarães;Guimarães;Braga;Portugal;Braga;Braga;Braga;0.485;Regional / Urban
2773;2016;Portugal;Aveiro;Aveiro;Aveiro;Portugal;Braga;Braga;Braga;1.187;Regional / Urban
2774;2016;Portugal;Évora;Évora;Évora;Portugal;Guimarães;Guimarães;Braga;1.171;Regional / Long-distance
2775;2016;Portugal;Viana do Castelo;Viana do Castelo;Viana do Castelo;Portugal;Lisboa Oriente;Lisboa;Lisboa;0.287;Regional / Urban
2776;2016;Portugal;Viana do Castelo;Viana do Castelo;Viana do Castelo;Portugal;Guimarães;Guimarães;Braga;0.792;Regional / Urban
2777;2016;Portugal;Viana do Castelo;Viana do Castelo;Viana do Castelo;Portugal;Évora;Évora;Évora;1.398;Regional / Urban
2778;2017;Portugal;Lisboa Santa Apolónia;Lisboa;Lisboa;Portugal;Lisboa Oriente;Lisboa;Lisboa;1.115;Long-distance / Intercidades
2779;2017;Portugal;Lisboa Santa Apolónia;Lisboa;Lisboa;Portugal;Faro;Faro;Faro;0.904;Long-distance / Intercidades
2780;2017;Portugal;Lisboa Oriente;Lisboa;Lisboa;Portugal;Faro;Faro;Faro;1.466;Long-distance / Intercidades
