No.;year;origin_country;origin_station_name;origin_city;origin_region;destination_country;destination_station_name;destination_city;destination_region;Passengers_millions;Type
5657;2016;Switzerland;Genève;Genève;Genève;Switzerland;Winterthur;Winterthur;Zürich;1.638;Long-distance
5658;2016;Switzerland;Genève;Genève;Genève;Switzerland;Fribourg/Freiburg;Fribourg;Fribourg;2.083;Long-distance
5659;2016;Switzerland;Lausanne;Lausanne;Vaud;Switzerland;Zürich HB;Zürich;Zürich;1.444;Long-distance
5660;2016;Switzerland;Lausanne;Lausanne;Vaud;Switzerland;Fribourg/Freiburg;Fribourg;Fribourg;0.639;Long-distance
5661;2016;Switzerland;Luzern;Luzern;Luzern;Switzerland;Lugano;Lugano;Ticino;1.649;Long-distance
5662;2016;Switzerland;Fribourg/Freiburg;Fribourg;Fribourg;Switzerland;Zürich HB;Zürich;Zürich;2.901;Regional
5663;2016;Switzerland;Fribourg/Freiburg;Fribourg;Fribourg;Switzerland;Lausanne;Lausanne;Vaud;4.017;Regional
5664;2016;Switzerland;Fribourg/Freiburg;Fribourg;Fribourg;Switzerland;St. Gallen;St. Gallen;St. Gallen;2.768;Regional
5665;2016;Switzerland;Lugano;Lugano;Ticino;Switzerland;Winterthur;Winterthur;Zürich;2.73;Long-distance
5666;2017;Switzerland;Zürich HB;Zürich;Zürich;Switzerland;Basel SBB;Basel;Basel-Stadt;10.468;Long-distance
5667;2017;Switzerland;Zürich HB;Zürich;Zürich;Switzerland;Luzern;Luzern;Luzern;3.5;Long-distance
5668;2017;Switzerland;Zürich HB;Zürich;Zürich;Switzerland;Winterthur;Winterthur;Zürich;1.183;Long-distance
5669;2017;Switzerland;Zürich HB;Zürich;Zürich;Switzerland;St. Gallen;St. Gallen;St. Gallen;3.256;Long-distance
5670;2017;Switzerland;Genève;Genève;Genève;Switzerland;Bern;Bern;Bern;2.084;Long-distance
5671;2017;Switzerland;Genève;Genève;Genève;Switzerland;Fribourg/Freiburg;Fribourg;Fribourg;0.43;Long-distance
5672;2017;Switzerland;Basel SBB;Basel;Basel-Stadt;Switzerland;Zürich HB;Zürich;Zürich;3.049;Long-distance
5673;2017;Switzerland;Basel SBB;Basel;Basel-Stadt;Switzerland;St. Gallen;St. Gallen;St. Gallen;1.633;Long-distance
5674;2017;Switzerland;Basel SBB;Basel;Basel-Stadt;Switzerland;Fribourg/Freiburg;Fribourg;Fribourg;1.668;Long-distance
5675;2017;Switzerland;St. Gallen;St. Gallen;St. Gallen;Switzerland;Genève;Genève;Genève;1.517;Regional
