depart,arrivee,type_transport,distance_km,temps_minutes
Paris Gare de Lyon,Lyon Part-Dieu,TGV,460,120
Paris Gare de Lyon,Lyon Part-Dieu,Train Classique,460,310
Paris Gare de Lyon,Marseille Saint-Charles,TGV,775,200
Paris Gare de Lyon,Marseille Saint-Charles,Train Classique,775,520
Paris Montparnasse,Bordeaux Saint-Jean,TGV,580,125
Paris Montparnasse,Bordeaux Saint-Jean,Train Classique,580,360
Paris Nord,Lille Flandres,TGV,225,60
Paris Nord,Lille Flandres,Train Classique,225,140
Lyon Part-Dieu,Marseille Saint-Charles,TGV,315,100
Lyon Part-Dieu,Marseille Saint-Charles,Train Classique,315,210
Paris Est,Strasbourg,TGV,450,110
Paris Est,Strasbourg,Train Classique,450,250
Bordeaux Saint-Jean,Toulouse Matabiau,TGV,250,130
Bordeaux Saint-Jean,Toulouse Matabiau,Train Classique,250,150
Lyon Part-Dieu,Geneve Cornavin,Train Classique,150,110
